Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,day_average
2020,1,1,5852.680493,5737.567103,5615.764430,5531.742920,5447.605645,5394.700537,5352.527236,5309.453514,5301.798190,5284.887330,5264.730096,5252.671949,5220.300010,5208.690772,5220.517698,5252.379342,5292.710749,5340.808676,5418.500221,5478.964336,5677.376367,5542.944322,5536.405217,5559.008347,5611.562916,5701.071537,5802.232089,5884.757231,6000.039643,6182.743269,6357.226608,6551.472798,6714.933780,6867.144633,6996.509168,7053.101122,7062.003353,7123.696503,7176.657903,7132.427397,6999.041655,6778.294291,6624.668406,6465.805474,6316.609753,6198.455163,6015.530373,5805.471148,5948.253994
2020,1,2,5632.461606,5487.935021,5363.866206,5266.091178,5225.096961,5192.479039,5186.143797,5179.295031,5196.088305,5225.551609,5277.173435,5361.186862,5473.351180,5573.416384,5670.288020,5699.179503,5720.427480,5735.547590,5711.518042,5695.357053,5724.191524,5777.168239,5777.406824,5833.800894,5913.283468,5977.900647,6008.403915,6117.263911,6259.022710,6344.586517,6429.466382,6540.095032,6704.651716,6872.453356,6977.702072,7045.839588,7078.921695,7191.474761,7237.268569,7240.641405,7126.296953,6933.054266,6729.619394,6549.923826,6368.972896,6240.964075,6077.857541,5881.771316,6038.176204
2020,1,3,5732.025049,5601.031687,5481.013718,5390.988178,5345.704546,5316.615560,5279.059900,5268.816785,5304.429383,5311.860789,5340.828311,5432.285251,5528.636123,5638.123521,5738.063543,5777.613110,5837.176882,5885.082225,5868.924061,5861.864445,5851.188232,5822.944300,5809.127874,5848.553234,5872.626995,5947.458266,6037.096297,6102.373861,6211.323656,6348.722724,6423.776344,6534.281914,6701.893795,6846.749430,6948.867484,6944.381395,6917.595864,7004.637159,7071.178162,7074.741818,6960.213911,6792.459482,6659.044517,6524.471739,6401.686792,6309.416481,6125.593917,5911.740136,6061.339351
2020,1,4,5591.475531,5447.063024,5321.589175,5238.835564,5188.126336,5156.340850,5133.232131,5120.225319,5135.167913,5124.747985,5106.670106,5106.958665,5089.747009,5098.953131,5138.172552,5138.884810,5159.609825,5163.858059,5128.289674,5111.288620,5061.819416,5063.964985,5019.766784,5045.709107,5058.237580,5135.886573,5169.947542,5214.572045,5291.900182,5432.639784,5581.709635,5786.277826,6036.351539,6243.855886,6409.856398,6488.649370,6558.180878,6659.644444,6736.482313,6748.801490,6651.502266,6487.360537,6358.869402,6259.527132,6166.459325,6091.403528,5906.684966,5704.385195,5584.785050
2020,1,5,5509.171952,5373.223363,5249.384786,5154.461367,5094.958259,5050.329402,5048.108770,5049.456268,5033.852973,5030.029559,5003.489890,4975.214880,4940.340176,4930.911252,4886.637347,4868.150523,4896.771045,4936.652630,4930.537987,4923.341384,4907.443542,4913.114387,4919.886893,4965.515860,4999.395859,5038.689302,5146.275390,5233.190817,5351.589205,5476.841296,5641.973240,5819.636927,6043.738839,6246.894913,6427.229298,6537.192479,6634.994022,6760.036752,6807.585095,6797.335381,6711.735470,6520.715906,6385.849823,6232.097444,6114.721453,6023.380459,5827.807286,5624.424784,5520.714915
2020,1,6,5440.903657,5301.451807,5203.697272,5125.533906,5073.650664,5039.389548,5034.286545,5030.963043,5060.834161,5110.196862,5196.276624,5282.284476,5430.032484,5576.769511,5720.003253,5795.406596,5864.502564,5903.067390,5866.009900,5825.869671,5804.716739,5817.863961,5830.891821,5905.511943,5988.885950,6068.009065,6121.133743,6236.415482,6368.464503,6479.244928,6604.658232,6734.784944,6876.172276,7035.610733,7146.647779,7174.039940,7171.603077,7256.720051,7291.356352,7275.855530,7141.337290,6929.613986,6738.533804,6552.929084,6388.090658,6265.645041,6071.569881,5856.288643,6062.785945
2020,1,7,5653.856909,5512.349071,5381.227432,5305.813213,5251.864773,5220.437167,5201.669593,5191.041977,5219.151675,5262.447984,5346.217322,5433.304406,5612.501910,5770.187161,5906.822550,6008.202585,6077.424013,6086.567308,6073.612789,6020.016978,5994.407628,5996.645398,6002.307001,6037.665379,6081.269154,6129.458331,6199.672729,6283.270031,6361.568021,6454.939985,6580.329969,6748.998516,6978.495310,7159.619311,7260.528995,7251.326363,7237.173030,7312.295860,7348.923747,7326.853108,7182.980573,6957.427295,6782.693283,6591.650602,6402.729096,6293.364044,6098.435597,5870.010825,6176.244917
2020,1,8,5649.700280,5516.584700,5390.578404,5303.014069,5264.782853,5222.192268,5205.289732,5208.774448,5238.792813,5271.430966,5329.860850,5414.697700,5563.599571,5700.732103,5814.473266,5848.126304,5901.248709,5938.428160,5897.365893,5863.305332,5882.729779,5891.900110,5873.950649,5920.743390,5966.149440,6034.009768,6113.914565,6271.686667,6432.354830,6579.800582,6725.029213,6890.751655,7060.353039,7240.971317,7394.230036,7413.366579,7413.781294,7481.382036,7540.027919,7505.030756,7382.543898,7161.183743,6962.296029,6769.509021,6540.677621,6337.779811,6165.532293,5972.532680,6197.233274
2020,1,9,5850.382147,5703.804956,5581.893690,5496.927237,5431.101122,5389.524544,5377.937202,5358.001509,5370.514922,5397.235789,5471.365967,5567.977500,5719.732983,5880.074033,6020.233189,6079.528864,6129.576788,6146.064667,6101.452119,6103.535173,6098.697266,6140.755546,6194.891356,6286.079526,6379.184641,6362.114122,6496.244855,6654.424791,6812.155825,6926.505178,7068.370175,7187.200151,7369.067427,7495.618105,7610.961950,7628.046495,7613.506178,7719.544926,7796.094649,7802.703941,7684.074164,7457.346887,7213.703196,6980.253143,6744.545745,6567.127347,6383.580813,6186.659946,6438.256724
2020,1,10,5985.270943,5866.133388,5724.139388,5631.311923,5566.899728,5530.118036,5524.714530,5508.729454,5527.312929,5553.113572,5644.079077,5754.659381,5905.783216,6021.659534,6218.544882,6321.860895,6367.025090,6395.030451,6359.783942,6338.718215,6308.686761,6307.662773,6354.385142,6419.099138,6450.369911,6510.146860,6599.629591,6674.538061,6789.724483,6912.040921,7109.365509,7283.951909,7469.011264,7641.439506,7737.431706,7724.002810,7687.139379,7679.412073,7752.696249,7753.532051,7621.415792,7435.714773,7284.892158,7099.565154,6878.864707,6677.128810,6482.819968,6279.539096,6555.606149
